City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Tepango,MX,20.0,-97.8167,64.04,89,97,1.68,overcast clouds
233,Port Hardy,CA,50.6996,-127.4199,56.46,81,100,10.0,overcast clouds
234,Axim,GH,4.8699,-2.2405,77.61,87,100,5.35,overcast clouds
235,Bandarbeyla,SO,9.4942,50.8122,78.78,77,7,22.59,clear sky
236,Eyl,SO,7.9803,49.8164,79.77,74,52,20.71,broken clouds
237,Evanston,US,42.0411,-87.6901,86.0,56,75,14.97,broken clouds
238,Marienburg,PL,54.0359,19.0266,52.88,92,100,6.69,overcast clouds
239,Lima,PE,-12.0432,-77.0282,63.9,78,0,9.22,clear sky
240,Anadyr,RU,64.75,177.4833,48.7,66,0,8.95,clear sky
241,Mlonggo,ID,-6.5333,110.7,82.38,72,90,3.51,overcast clouds
242,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,1.14,clear sky
243,Siniscola,IT,40.5719,9.6922,62.15,66,0,4.12,clear sky
244,Beloha,MG,-25.1667,45.05,60.98,88,0,4.81,clear sky
245,Kaili,ID,-3.4626,120.2147,76.01,71,100,2.06,overcast clouds
246,Komsomolskiy,UZ,40.4272,71.7189,61.52,63,0,6.91,clear sky
247,Sinegorye,RU,62.0788,150.477,49.66,68,100,7.65,overcast clouds
248,Thinadhoo,MV,0.5333,72.9333,82.74,72,42,12.28,scattered clouds
249,Castro,BR,-24.7911,-50.0119,53.96,98,100,7.56,overcast clouds
250,Kidal,ML,18.4411,1.4078,90.82,24,97,10.27,overcast clouds
251,Pisco,PE,-13.7,-76.2167,62.65,88,0,10.36,clear sky
252,Otradnoye,RU,59.7775,30.8181,50.97,97,3,4.76,clear sky
253,La Tuque,CA,47.4334,-72.7824,49.05,67,97,3.44,overcast clouds
254,Sabirabad,AZ,40.0095,48.4752,66.27,42,0,4.99,clear sky
255,Mujiayingzi,CN,42.1167,118.7833,71.38,19,6,13.15,clear sky
256,Moose Factory,CA,51.2585,-80.6094,60.87,69,100,9.57,overcast clouds
257,Dingle,PH,10.9995,122.6711,83.3,77,97,6.89,overcast clouds
258,Northam,GB,51.0333,-4.2167,48.61,91,12,6.29,few clouds
259,Iralaya,HN,15.0,-83.2333,79.43,85,100,10.76,overcast clouds
260,Irondequoit,US,43.2134,-77.5797,79.0,57,40,8.05,scattered clouds
261,Chicama,PE,-7.8447,-79.1469,61.34,80,61,7.11,broken clouds
262,Kruisfontein,ZA,-34.0033,24.7314,49.75,67,53,7.27,broken clouds
263,Martapura,ID,-3.4167,114.85,86.09,74,0,3.44,clear sky
264,Eureka,US,40.8021,-124.1637,64.13,72,14,4.0,few clouds
265,Dryden,CA,49.7833,-92.7503,44.89,93,100,17.27,mist
266,Sept-Iles,CA,50.2001,-66.3821,50.05,54,7,1.99,clear sky
267,Ikovka,RU,55.6089,64.9375,46.76,81,3,8.7,clear sky
268,Egvekinot,RU,66.3167,-179.1667,44.13,62,51,4.7,broken clouds
269,Iqaluit,CA,63.7506,-68.5145,28.58,90,100,2.84,overcast clouds
270,Stamford,US,41.0534,-73.5387,86.2,69,40,18.01,scattered clouds
271,Marsh Harbour,BS,26.5412,-77.0636,77.4,74,100,5.5,overcast clouds
272,Arlit,NE,18.7369,7.3853,89.67,7,0,7.27,clear sky
273,Cloquet,US,46.7216,-92.4594,57.0,77,100,10.36,overcast clouds
274,Upernavik,GL,72.7868,-56.1549,25.88,83,34,8.03,scattered clouds
275,Souillac,MU,-20.5167,57.5167,71.98,60,40,11.5,scattered clouds
276,Svetlyy,RU,54.675,20.1347,48.96,80,100,6.96,overcast clouds
277,Muros,ES,42.7762,-9.0603,64.09,95,11,5.66,few clouds
278,Trofors,NO,65.5333,13.4063,50.97,90,100,4.59,overcast clouds
279,Letlhakane,BW,-21.4167,25.5833,46.83,27,0,10.36,clear sky
280,Atar,MR,20.5169,-13.0499,88.09,27,12,12.1,few clouds
281,Te Anau,NZ,-45.4167,167.7167,52.12,89,100,3.38,overcast clouds
282,Portland,US,45.5234,-122.6762,79.56,44,40,9.22,scattered clouds
283,Macamic,CA,48.7502,-78.9996,67.37,64,100,14.63,overcast clouds
284,Hvide Sande,DK,56.0045,8.1294,49.87,70,91,1.57,overcast clouds
285,Vredendal,ZA,-31.6683,18.5012,50.54,52,0,2.64,clear sky
286,Ribeira Grande,PT,38.5167,-28.7,61.36,84,30,16.49,scattered clouds
287,Hamilton,US,39.1834,-84.5333,81.23,66,0,6.91,clear sky
288,Cayenne,GF,4.9333,-52.3333,77.09,1,20,0.0,few clouds
289,Siguiri,GN,11.6667,-9.5,83.44,50,74,3.06,broken clouds
290,Luderitz,NA,-26.6481,15.1594,60.64,37,0,6.22,clear sky
