City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Phan Thiet,VN,83.25,broken clouds,10.9333,108.1,Hotel Saigon-PT
580,Westport,US,80.1,overcast clouds,41.1415,-73.3579,The Westport Inn
584,Guilin,CN,76.51,light rain,25.2819,110.2864,Grand 0773 Hotel
587,New Port Richey,US,82.15,broken clouds,28.2442,-82.7193,Quality Inn & Suites Conference Center
588,Umm Kaddadah,SD,80.4,clear sky,13.6017,26.6876,
590,Luganville,VU,82.02,broken clouds,-15.5333,167.1667,The Espiritu Hotel
591,Vinh,VN,82.78,broken clouds,18.6667,105.6667,Vuong Hoan 2
593,Nabisar,PK,79.66,clear sky,25.0685,69.6419,Dhani Parto Dars
596,Jaru,BR,79.14,broken clouds,-10.4389,-62.4664,Hotel Paraná
598,Charcas,MX,76.05,clear sky,23.1333,-101.1167,Hotel El Malacate
600,Ugoofaaru,MV,81.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
602,Panama City,PA,81.18,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
603,Poquoson,US,84.97,scattered clouds,37.1224,-76.3458,Whitehouse Cove
605,Pontian Kecil,MY,83.95,clear sky,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
606,Puerto Escondido,MX,79.3,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
607,Nishihara,JP,82.45,mist,26.1842,127.7558,Minshuku Agaihama
609,Goure,NE,87.03,clear sky,13.9835,10.2704,
612,Tongzi,CN,75.92,overcast clouds,28.7829,105.0877,Jiayuan Hotel
613,Latur,IN,80.78,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
617,Labuhan,ID,81.34,broken clouds,-6.8844,112.2051,DoubleFAG
618,Ciudad Bolivar,VE,85.84,broken clouds,8.1222,-63.5497,Hotel Edi
619,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
620,Hirara,JP,80.74,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
621,Yichang,CN,79.48,scattered clouds,30.7144,111.2847,Gezhouba Hotel
622,Paithan,IN,80.46,scattered clouds,19.4833,75.3833,Prakash lahase
628,Riyadh,SA,82.98,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
629,Sokoni,TZ,78.1,light rain,-6.4333,39.55,Ujamaa Beach Resort
632,Sabang,ID,82.83,overcast clouds,5.8933,95.3214,Hotel Citra
637,Marzuq,YE,76.12,clear sky,14.4,46.4667,
638,Huron,US,80.06,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
640,Eufaula,US,80.64,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
641,Seydi,TM,75.54,clear sky,39.4816,62.9137,Seydi oteli
642,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
643,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
645,Langsa,ID,77.18,broken clouds,4.4683,97.9683,OYO 3328 Hotel Mori
654,Tutoia,BR,79.45,clear sky,-2.7619,-42.2744,Pousada Guará's
655,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
657,Porto Novo,BJ,76.89,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
659,Biltine,TD,84.74,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
660,Ca Mau,VN,83.73,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
663,Tura,IN,77.0,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
664,Yaan,NG,75.27,overcast clouds,7.3833,8.5667,
668,Iracoubo,GF,75.99,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
671,Buraydah,SA,81.99,clear sky,26.326,43.975,Mövenpick Qassim
672,Coahuayana,MX,77.94,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
676,Caohe,CN,76.87,overcast clouds,30.2297,115.4335,Ai Jing Hotel
681,Kralendijk,BQ,80.58,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
685,Half Moon Bay,US,82.8,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
686,Celestun,MX,77.34,overcast clouds,20.8667,-90.4,Posada Lilia
688,Upata,VE,79.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
689,Marawi,PH,80.44,clear sky,7.9986,124.2928,Derogongan Residence
691,Payyannur,IN,78.1,overcast clouds,12.1,75.2,Kavvayi Beach House
693,Shingu,JP,77.4,overcast clouds,33.7333,135.9833,Shingu UI Hotel
694,Tecoanapa,MX,82.27,overcast clouds,16.5167,-98.75,Hotel Manglares
695,Puerto Colombia,CO,80.55,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
