City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Camacha,PT,2022-05-05 18:43:13,33.0833,-16.3333,62.02,72,40,14.97
107,Bambous Virieux,MU,2022-05-05 18:43:14,-20.3428,57.7575,77.25,83,75,19.57
108,Yerbogachen,RU,2022-05-05 18:43:14,61.2767,108.0108,29.93,91,100,6.04
109,Kruisfontein,ZA,2022-05-05 18:43:15,-34.0033,24.7314,62.6,64,6,1.83
110,Nanortalik,GL,2022-05-05 18:43:16,60.1432,-45.2371,34.12,77,100,10.98
111,Lebu,CL,2022-05-05 18:43:17,-37.6167,-73.65,58.86,76,64,7.54
112,Iroquois Falls,CA,2022-05-05 18:43:17,48.7669,-80.6831,51.48,51,100,4.52
113,Porto Empedocle,IT,2022-05-05 18:43:18,37.2934,13.5264,68.63,44,99,29.26
114,Shenjiamen,CN,2022-05-05 18:43:19,29.9576,122.298,62.74,97,76,6.69
115,Hermanus,ZA,2022-05-05 18:43:20,-34.4187,19.2345,59.81,92,15,6.71
116,Skjervoy,NO,2022-05-05 18:43:21,70.0311,20.9714,39.2,78,100,10.16
117,Hay River,CA,2022-05-05 18:43:22,60.8156,-115.7999,58.98,26,20,6.91
118,Celestun,MX,2022-05-05 18:43:23,20.8667,-90.4,91.11,56,13,6.71
119,Urumqi,CN,2022-05-05 18:43:24,43.801,87.6005,67.15,56,0,13.42
120,Klaksvik,FO,2022-05-05 18:43:24,62.2266,-6.589,47.32,81,100,19.48
121,Springbok,ZA,2022-05-05 18:43:25,-29.6643,17.8865,64.35,32,0,3.44
122,Ponta Do Sol,PT,2022-05-05 18:43:26,32.6667,-17.1,68.72,68,30,5.1
123,Derzhavinsk,KZ,2022-05-05 18:43:26,51.1,66.3167,58.53,48,35,8.84
124,Torbay,CA,2022-05-05 18:39:16,47.6666,-52.7314,47.17,76,100,17.27
125,Wonthaggi,AU,2022-05-05 18:43:27,-38.6044,145.5913,44.82,82,44,12.35
126,Maniitsoq,GL,2022-05-05 18:43:28,65.4167,-52.9,29.37,65,2,4.18
127,Chuy,UY,2022-05-05 18:40:42,-33.6971,-53.4616,66.04,59,100,5.28
128,Port Hardy,CA,2022-05-05 18:42:20,50.6996,-127.4199,46.4,93,100,4.61
129,Coahuayana,MX,2022-05-05 18:43:29,18.7333,-103.6833,89.38,48,12,8.12
130,Miramar,US,2022-05-05 18:43:30,25.9873,-80.2323,93.0,62,0,12.66
131,Krynychky,UA,2022-05-05 18:43:31,48.3755,34.467,47.34,60,2,9.26
132,Port Elizabeth,ZA,2022-05-05 18:43:31,-33.918,25.5701,62.31,74,0,2.3
133,Abu Samrah,SY,2022-05-05 18:43:32,35.3029,37.1841,57.13,70,5,13.29
134,Saint-Philippe,RE,2022-05-05 18:43:33,-21.3585,55.7679,76.59,86,92,16.82
135,Hofn,IS,2022-05-05 18:44:33,64.2539,-15.2082,40.3,91,100,12.64
136,Kapaa,US,2022-05-05 18:44:34,22.0752,-159.319,77.32,80,40,16.11
137,San Lazaro,BZ,2022-05-05 18:44:34,18.0387,-88.6622,91.6,48,98,12.55
138,Joshimath,IN,2022-05-05 18:44:35,30.5667,79.5667,61.16,77,100,1.05
139,Roald,NO,2022-05-05 18:44:35,62.5833,6.1333,52.75,66,75,10.36
140,Pasighat,IN,2022-05-05 18:44:36,28.0667,95.3333,71.44,73,15,4.0
141,Coihaique,CL,2022-05-05 18:43:15,-45.5752,-72.0662,50.61,50,40,11.5
142,Jobabo,CU,2022-05-05 18:44:37,20.9692,-76.2994,89.62,54,40,11.27
143,Mgandu,TZ,2022-05-05 18:44:38,-5.95,34.1333,60.46,84,4,4.29
144,Kahului,US,2022-05-05 18:44:38,20.8947,-156.47,75.97,80,100,13.8
145,Dzhebariki-Khaya,RU,2022-05-05 18:44:39,62.2167,135.8,33.15,98,100,7.94
146,Truckee,US,2022-05-05 18:44:26,39.328,-120.1833,67.08,37,75,19.57
